"Два слабых и один сильный",""
"Два слабых и один сильный",""
"Два соловья","1986"
"Дважды два равняется одуванчику","1990"
"Две девицы",""
"Две зимы",""
"Две Золушки",""
"Две козы",""
"Две компьютерные сказки для компьютерщиков и их детей",""
"Две лягушки",""
"Две пощечины",""
"Две сестры",""
"Две сестры, два ветра","2005"
"Двенадцать месяцев (СИ)",""
"Двенадцать слонов","1983"
"Дверь в волшебную страну","1989"
"Двете късметлии петачета","1981"
"Двое",""
"Двое из сумы",""
"Двойник приходит на помощь","1989"
"Дворовый петух и флюгерный",""
"Девочка Голубянка находит золотой цветень","1993"
"Девочка по имени Глазастик",""
"Девочка со спичками",""
"Девочка-луна",""
"Девочка-мебель","2016"
"Девочка, вьюн и обезьяна",""
"Девочка, которая наступила на хлеб",""
"Девочка, наступившая на хлеб",""
"Девочка, потерявшая имя",""
"Девушка и Смерть","1949"
"Девушка из цветочного горшка",""
"Девушка-берёзка","1975"
"ДЕВУШКА-ПАВЛИН","1963"
"Девушка, которая плела сумки",""
"Девушка, которая протанцевала все на свете","1990"
"Девяносто девять гульденов",""
"Девятичасовой на Аддис-Абебу",""
"Девять жизней",""
"Девять жизней одного кота",""
"Девять лодырей",""
"Дед мороз без бороды",""
"Дед Мороз и лето","1998"
"Дед Пихто и бабка Никто",""
"Дед Пыхто","1973"
"Дед Ханасака",""
"Дедка Петко и бабка Пена",""
"Дедов совет",""
"Дедушкина копилка","1964"
"Дельфинёнок Рори","2015"
"Дельфиния","1978"
"День рождения Белки",""
"День рождения Домового",""
"День рождения инфанты",""
"Деревенский пожар",""
"Деревня Драконов","2019"
"Деревянный орел",""
"Деревянный солдат",""
"Десять вечеров. Японские народные сказки","1965"
"Десять городов",""
"Дети Бемби",""
"Дети ветра",""
"Дети воды","1992"
"Дети Сварога","2008"
"Дети стеклодува","2005"
"Детская библиотека. Том 17","2017"
"Детская библиотека. Том 23","2017"
"Дехканин и кувшин золота",""
"Децата на козата",""
"Джанни Родари. Лучшие сказки","2019"
"Джачинта и котята",""
"Джеймс и Персик-великан","2001"
"Джек покоритель великанов и другие сказки для детей","1966"
"Джек Пружинные Пятки","2005"
"Джельсомино в Стране Лгунов","1987"
"Джельсомино в стране Лжецов. Повесть-сказка","1960"
"Дженни","1980"
"Дженни. Томасина. Ослиное чудо","1995"
"Джим Ґудзик і машиніст Лукас",""
"Джим Пуговица и Чертова дюжина","1999"
"Джим Пуговка и машинист Лукас","2004"
"Джим Пуговка и Чертова Дюжина","2000"
"Джип в телевизоре","1987"
"Джовані Трапатоні","2010"
"Джон Рональд Роуэл Толкиен. Лучшие сказания","2019"
"Джонни-бедняк и Арника","1985"
"Джыртдан","1957"
"Дзед Манюкін і ўнукі","2003"
"Дивные времена","1984"
"Дивовижні мандри Нільса з дикими гусьми","2005"
"Дикая лошадь под печкой","1989"
"Дикая охота",""
"Дикая рысь",""
"Дикие лебеди","2000"
"Дикие лебеди и другие сказки","1964"
"Диковины","2010"
"Династия Ли",""
"Дитя Аллаха",""
"Длинное имя",""
"Дневник кота-убийцы. Все истории","2017"
"Дневник кота-убийцы. Все истории (сборник)","2017"
"До свидания, овраг [с иллюстрациями]","1979"
"Добрая невестка",""
"Добро пожаловать в Сказку!","2010"
"Добрые сказки для взрослых и детей","2016"
"Добрые советы",""
"Добрый и жадный",""
"Добрый крестьянин",""
"Добрый маленький Эдмонд","1993"
"Добрый поп",""
"Добрый поп",""
"Добрым делом не хвались",""
"Добывайки (сборник)","2013"
"Добывайки в поле","1993"
"Добывайки на новом месте","2018"
"Добывайки на реке","1993"
"Догадливая невеста",""
"Дозорный Отряд","2004"
"Доктор Айболит (с иллюстрациями)","1999"
"Доктор Айболит (Художник Н. Таиров)","1957"
"Доктор Айболит [Издание 1925 г.]","1925"
"Доктор Айболит [Издание 1936 г.]","1936"
"Доктор Айболит. Повесть-сказка","1956"
"Доктор Дулитл и его звери","2009"
"Долина единорогов","2013"
"Дом","2007"
"Дом вверх дном: повесть-сказка","2012"
"Дом дворников. Сказочные истории","2014"
"Дом для Гвина",""
"Дом на дереве","2012"
"Дом под каштанами",""
"Дом с волшебными окнами. Повести","1962"
"Домовенок Кузька","1999"
"Домовенок Кузька и Бабёныш-Ягёныш","2003"
"Домовенок Кузька и волшебные вещи","2001"
"Домовёнок Кузька и враг-невидимка","2006"
"Домовенок Кузька и Вреднючка","2003"
"Домовенок Кузька и проказник Сенька","2003"
"Домовёнок Кузька и пропавшая азбука","2002"
"Домовенок Кузька. Повесть-сказка","2005"
"Домовой","1993"
"Домовой у лавочника",""
"Дон Лимон и сеньор Апельсин","2012"
"Дон Миакка",""
"Донская сказка (СИ)",""
"Донские сказки","1948"
"Донские сказки. Часть 1","2017"
"Дорога ветров","2006"
"Дорога из мармелада","2018"
"Дорогой сна",""
"Достопамятное жизнеописание Его Величества Абрагама Тонелли","1972"
"Дочь алхимика",""
"Дочь Гигемы","1997"
"Дочь Гингемы","1997"
"Дочь Гингемы (иллюстр. М. Мисуно)","1999"
"Дочь изобретателя фейерверков","2005"
"Дочь колдуна","2004"
"Дочь лесного царя","1915"
"Дочь Сказки",""
"Дочь Солнца","1960"
"Дочь царя Зарзанда",""
"Дощечка через лужу","2005"
"Драгоценный камушек",""
"Дракон и его самоцветы",""
"Дракон поперек дороги",""
"Дракон, играющий в прятки","2002"
"Дракон, играющий в прятки","2002"
"Дракоша в городе","2013"
"Дракоша выходит в люди","2012"
"Дракоша и компания","2003"
"Драхма языка",""
"Древнее волшебство",""
"ДРЕВНЕЕ ЗЕРКАЛО","1993"
"Дрёма",""
"Друг и брат",""
"Другой подвиг Ивана Царевича",""
"Дружба зверей","1978"
