Корабли ВМФ СССР. Том 3. Противолодочные корабли. Часть 2. Малые противолодочные корабли,2005
Майкл Портер,
Мадонна – певица,
Лучшее для здоровья от Брэгга до Болотова. Большой справочник современного оздоровления,2009
Майкл Делл,
Малькольм Стивенсон Форбс,
Марч Джеймс,
Международное частное право: Шпаргалка,2010
Медицинские запоминалки,
Маркетинг услуг. Настольная книга российского маркетолога практика,2006
Макс Вебер,
Маркетинговое консультирование,
Мастера и шедевры. т. I,1986
Марс – семья миллиардеров, владельцы продовольственной компании,
Маккартни Пол – певец,
Мир брата Кадфаэля,2006
Махмудов Искандер – российский предприниматель,
Морские вооружения прибалтийских стран,1933
Морской биографический словарь,2008
Мак-Кей Харви – администратор корпорации «Мак-Кей Энви-лоуп»,
Мацусита Коносуке– глава Matsushita Electric Industrial Ltd,
Майкл Эйснер,
Медицинские анализы: диагностический справочник,
Музы и грации. Афоризмы,2005
Мысль, Хроноцентрический мир,
Младенец. Руководство пользователя: Инструкция по эксплуатации, рекомендации по устранению неисправностей, советы по первому году технического обслуживания,2016
Містика сновидінь. Практичний сонник,
Мысли и изречения древних с указанием источника,
Международные стандарты аудита: Шпаргалка,2009
Метро 2033. Передистория,
Митин журнал,
Мы и они. Наглядное наставление по выявлению этнического родства,2005
Мысли и афоризмы,
Международные экономические отношения: конспект лекций,2008
Монголия и страна тангутов. Первое путешествие в Центральной Азии 1870-1873 гг,
Милтон Фридмен,
Мысли и афоризмы,
Мысли, афоризмы и шутки знаменитых мужчин,2004
Москва футбольная. Полная история в лицах, событиях, цифрах и фактах,2016
Мысли, афоризмы, цитаты. Политика, журналистика, правосудие,2008
Мудрость тысячелетий от А до Я. Великие мысли и афоризмы великих людей,2010
Мэрдок Руперт – основатель холдинга “Ньюс Корпорейшн”,
Мудрость тысячелетий от А до Я,2007
Менеджмент в системе негосударственных правоохранительных организаций (Мекосепрология),
Мордашов Алексей Александрович – генеральный директор «Северсталь-групп»,
Мастера и шедевры. Том 3,1988
Мастерство переговоров,
Мысли, афоризмы и шутки выдающихся женщин,2007
Мысли и афоризмы древних римлян,
Мур Гордон – основатель корпорации Intel,
